filename,Function_Return_type,Function_Params,Function_Name,Typedefs,Pointers,References,Arrays,Function_Calls
29087188_62787937.xml,b'll\n',b'll x\n',"['modpow', 'main']",b'',[],[],[],"[' cin . tie 0', ' ios :: sync_with_stdio false', ' modpow ( modpow 2 m + MOD - 1 ) % MOD n', ' modpow 2 m']"
29088776_62785065.xml,b'int\n',b'\n',['main'],b'',[],[],[],"[' min b c / 2', ' min a b / 2']"
29042097_62785602.xml,b'int\n',b'\n',['main'],b'',[],[],[],[' min a b / 2']
29068809_62797734.xml,b'll\n',b'll a\n',"['bp', 'cmp', 'main']",b'typedef long long ll;',[],[],"[' a 100000', ' int flag 100000']","[' scanf ""%d"" & n', ' sort a + 1 a + n + 1 cmp', ' printf ""\\n""', ' printf ""%d "" i']"
29051680_62796903.xml,b'int\n',b'\n',['main'],b'typedef long long ll;',[],[],[' int a maxn maxn'],"[' scanf ""%d"" & n', ' printf ""%d"" a i 0', ' printf "" %d"" a i j', "" putchar '\\n'""]"
29070792_62797963.xml,b'int\n',b'int a\n',"['qpow', 'main']",b'',[],[],[],"[' scan n', ' scan m', ' qpow ( - 1 + qpow 2 m + mod ) % mod n', ' qpow 2 m']"
29040457_62797612.xml,b'int\n',b'\n',['main'],"b'typedef long long ll;typedef pair&lt;int, int> pii;'",[],[],[],"[' freopen ""in"" ""r"" stdin', ' freopen ""out"" ""w"" stdout', ' printf ""%d"" at + i + 1', ' printf ""%d"" nxt - 1 - i + 1', ' printf "" ""', ' printf ""\\n""']"
29059073_62798754.xml,b'int\n',b'\n',['main'],b'typedef long long ll;',[],[],[' int a 305 305'],"[' printf ""%d "" a i j', ' puts """"']"
29029128_62790557.xml,b'void\n',b'int a[]\n',"['pairsort', 'pairsortlli', 'binomialCoeff', 'power', 'gcd', 'lcm', 'max', 'min', 'main']",b'typedef long long int lli;typedef unsigned long long int ulli;typedef long double ldb;',[],[],"[' int a []', ' int b []', ' pair int int pairt n', ' lli a []', ' lli b []', ' pair lli lli pairt n', ' lli C k + 1']","[' sort pairt pairt + n', ' sort pairt pairt + n', ' memset C 0 C', ' min i k', ' gcd b a % b', ' gcd a b', ' power 2 m mod', ' power p n mod']"
29058208_62800985.xml,b'int\n',b'\n',['main'],b'typedef long long ll;',[],[],[],[' ios :: sync_with_stdio 0']
29066611_62786992.xml,b'int\n',b'int x\n',"['pw', 'inc', 'dec', 'Max', 'Min', 'main']",b'typedef long long ll;',[],"[' int & x', ' int & x', ' int & x', ' int & x']",[],"[' scanf ""%d"" & T', ' scanf ""%d%d%d"" & a & b & c', ' min b c / 2', ' min a b / 2', ' printf ""%d\\n"" ans']"
29035352_62785146.xml,b'int\n',b'\n',['main'],b'typedef long long ll;',[],[],[],"[' scanf ""%d"" & t', ' scanf ""%d%d%d"" & a & b & c', ' min c / 2 b', ' min b / 2 a', ' printf ""%d\\n"" 3 * ( x + y )']"
