ParticipantID	Color	Rank	Country	Problem1_id	Problem1_memory	Problem1_time	Problem1_language	Problem2_id	Problem2_memory	Problem2_time	Problem2_language	Problem3_id	Problem3_memory	Problem3_time	Problem3_language	Problem4_id	Problem4_memory	Problem4_time	Problem4_language	Problem5_id	Problem5_memory	Problem5_time	Problem5_language	Problem6_id	Problem6_memory	Problem6_time	Problem6_language
29729268	blue	46	China	64374100	12	31	GNU C++11	64383202	100	46	GNU C++11	64412536	168	108	GNU C++11	64377808	792	46	GNU C++11	64392287	4452	46	GNU C++11	-	-	-	-
29782340	blue	46	Estonia	64374256	152	31	GNU C++11	64377100	428	31	GNU C++11	64388616	148	46	GNU C++11	64392593	7972	93	GNU C++11	64400753	9296	155	GNU C++11	NO	-	-	-
29780270	blue	48	Vietnam	64373993	7968	31	GNU C++11	64376837	8256	46	GNU C++11	64384793	7988	109	GNU C++11	64392015	15800	62	GNU C++11	64404277	26500	187	GNU C++11	-	-	-	-
29758811	blue	49	Belarus	64373654	2360	31	GNU C++17	64381982	644	46	GNU C++17	64406954	12	46	GNU C++17	64395414	248	31	GNU C++17	64383112	24372	124	GNU C++17	-	-	-	-
29728483	blue	50	Brazil	64374369	12	31	GNU C++17	64380476	312	15	GNU C++17	64392045	156	155	GNU C++17	64387891	5984	46	GNU C++17	64404293	55192	218	GNU C++17	-	-	-	-
29783733	blue	51	United Arab Emirates	64373683	8	31	GNU C++17	64376261	436	30	GNU C++17	64382044	156	31	GNU C++17	64389039	252	46	GNU C++17	64405799	13992	202	GNU C++17	-	-	-	-
29740467	blue	52	Россия	64373649	256	31	GNU C++17	64376716	440	15	GNU C++17	64385257	160	46	GNU C++17	64391892	52	31	GNU C++17	64403387	6412	109	GNU C++17	-	-	-	-
29755862	blue	53	Бангладеш	64373971	8	15	GNU C++17	64378140	260	31	GNU C++17	64385357	156	46	GNU C++17	64393078	1700	46	GNU C++17	64406342	11824	155	GNU C++17	-	-	-	-
29743553	blue	54	Бангладеш	64373530	24	31	GNU C++11	64377508	104	31	GNU C++11	64383082	8	62	GNU C++11	64388264	4	31	GNU C++11	64406156	18048	296	GNU C++11	-	-	-	-
29758235	blue	55	Россия	64373702	12	46	GNU C++17	64380084	312	31	GNU C++17	64400556	152	46	GNU C++17	64388764	1228	46	GNU C++17	64397720	15000	187	GNU C++17	-	-	-	-
29735898	blue	56	Индия	64373904	6528	46	GNU C++17	64383512	6792	31	GNU C++17	64388568	6520	46	GNU C++17	64393710	20532	77	GNU C++17	64402641	27396	296	GNU C++17	-	-	-	-
29780623	blue	56	-	64373938	1576	155	PyPy 3	64378143	7512	171	PyPy 3	64388791	9456	373	PyPy 3	64392987	1404	202	PyPy 3	64403929	23112	405	PyPy 3	-	-	-	-
29777547	blue	58	Vietnam	64374637	400	46	GNU C++11	64380013	456	31	GNU C++11	64387588	408	61	GNU C++11	64393512	1572	46	GNU C++11	64399798	14660	234	GNU C++11	-	-	-	-
29770739	blue	58	Бангладеш	64374456	788	46	GNU C++11	64377948	1072	62	GNU C++11	64393965	796	140	GNU C++11	64386366	792	46	GNU C++11	64404415	14536	233	GNU C++11	-	-	-	-
29776818	blue	60	China	64376475	8	31	GNU C++11	64380426	60	31	GNU C++14	64389521	160	46	GNU C++14	64394176	8	46	GNU C++14	64400300	7192	561	GNU C++14	-	-	-	-
29731731	blue	61	Syria	64374216	160	46	GNU C++17	64386599	208	46	GNU C++17	64383372	156	46	GNU C++17	64389590	244	46	GNU C++17	64406426	14300	218	GNU C++17	-	-	-	-
29733410	blue	62	Индия	64375275	0	124	Java 8	64389373	0	124	Java 8	64385433	0	140	Java 8	64396073	0	140	Java 8	64402591	18928	62	GNU C++14	-	-	-	-
29777742	cyan	63	Vietnam	64373868	396	31	GNU C++11	64379365	52	31	GNU C++11	64414485	8	77	GNU C++11	64401282	8	31	GNU C++11	64391863	18916	265	GNU C++11	-	-	-	-
29750588	blue	63	Россия	64375303	12	46	GNU C++14	64384103	88	46	GNU C++14	64393589	8	46	GNU C++14	64380748	8	31	GNU C++14	64409837	17340	436	GNU C++14	-	-	-	-
