ParticipantID	Rank	Country	ProblemA_id	ProblemA_memory	ProblemA_time	ProblemA_language	ProblemB_id	ProblemB_memory	ProblemB_time	ProblemB_language	ProblemC_id	ProblemC_memory	ProblemC_time	ProblemC_language
28911947	34	Japan	62465673	36	155	PyPy 3	62470384	512	171	PyPy 3	62476154	1280	170	PyPy 3	62482446	20808	873	PyPy 3	62489735	15752	358	PyPy 3	62502251	18844	249	PyPy 3	-	-	-	-
28934655	35	-	62467011	0	31	GNU C++11	62464828	0	31	GNU C++11	NO	-	-	-	62477600	17840	78	GNU C++11	62478868	620	46	GNU C++11	NO	-	-	-	62493264	7668	420	GNU C++11
28931580	36	North Korea	62465413	16	31	GNU C++14	62468595	12	31	GNU C++14	62495495	16	31	GNU C++14	62482694	19740	280	GNU C++14	-	-	-	-	62493973	600	46	GNU C++14	62500092	3928	358	GNU C++14
28935138	37	-	62464444	8	30	GNU C++17	62472139	16	31	GNU C++17	62485122	12	46	GNU C++17	62483519	25992	296	GNU C++14	62488537	796	77	GNU C++17	62500289	1036	46	GNU C++17	-	-	-	-
28935540	38	China	62480835	4116	31	GNU C++11	62480398	4116	31	GNU C++11	62489147	4116	31	GNU C++11	62498580	22892	77	GNU C++11	62472484	6468	265	GNU C++11	62495771	6468	46	GNU C++11	-	-	-	-
28914534	39	-	62464785	2948	31	GNU C++17	62469574	2952	31	GNU C++17	62479628	2948	31	GNU C++17	62486802	19944	312	GNU C++17	62490540	5304	624	GNU C++17	62499511	7072	62	GNU C++17	-	-	-	-
28893996	40	-	62464122	12	31	GNU C++14	62469650	996	31	GNU C++14	62476824	12	31	GNU C++14	62482041	35388	295	GNU C++14	62491496	1972	93	GNU C++14	62501862	10368	62	GNU C++14	-	-	-	-
28927891	41	-	62464204	4	31	GNU C++11	62467841	12	46	GNU C++11	NO	-	-	-	62481579	50540	124	GNU C++11	62476936	7840	46	GNU C++11	-	-	-	-	62495337	7840	421	GNU C++11
28898322	42	China	62464157	12	31	GNU C++11	62469252	108	31	GNU C++11	62476708	12	31	GNU C++11	62484536	8216	124	GNU C++11	62491878	2368	265	GNU C++11	62502322	4316	46	GNU C++11	-	-	-	-
28910315	43	China	62466827	8	46	GNU C++11	62466951	0	31	GNU C++14	62489614	0	31	GNU C++14	62475264	4728	202	GNU C++11	62494765	5812	109	GNU C++14	NO	-	-	-	62501893	7816	342	GNU C++14
28893862	44	Jordan	62464163	16	31	GNU C++14	62469983	316	46	GNU C++14	62477299	16	124	GNU C++14	62492511	17672	218	GNU C++14	62489734	6996	139	GNU C++14	-	-	-	-	62498849	8232	374	GNU C++14
28934476	45	-	62465982	12	31	GNU C++17	62469159	16	30	GNU C++17	62487716	12	31	GNU C++17	62482334	10336	202	GNU C++17	62485396	408	62	GNU C++17	62499308	4708	46	GNU C++17	-	-	-	-
28925315	46	China	62465539	8	46	GNU C++11	62469631	16	31	GNU C++11	NO	-	-	-	62477549	4732	171	GNU C++11	62483176	3272	62	GNU C++11	NO	-	-	-	62498465	7840	421	GNU C++11
28899469	47	Switzerland	62465580	12	31	GNU C++17	62468440	20	46	GNU C++17	NO	-	-	-	62479348	20152	311	GNU C++17	62483252	1588	62	GNU C++17	62489617	12264	62	GNU C++17	NO	-	-	-
28934307	48	Ukraine	62463728	16	31	GNU C++17	62466917	32	31	GNU C++17	NO	-	-	-	62475199	10004	233	GNU C++17	62479793	8808	140	GNU C++17	62493864	12136	46	GNU C++17	-	-	-	-
28934792	49	Россия	62463606	16	109	Python 3	62468331	20	31	GNU C++17	NO	-	-	-	62479398	11116	265	GNU C++17	62482414	3316	93	GNU C++17	62492332	536	46	GNU C++17	-	-	-	-
