SubmissionID	Problem_index	Participant_country	Participant_color	Language	Time	Memory
29178054_62977452	1	Индия	blue	Python 2	421	9620
29178054_62978216	2	Индия	blue	Python 2	405	7708
29178054_62988889	3	Индия	blue	Python 2	358	6624
29178054_62995250	4	Индия	blue	GNU C++17	171	4
29165249_62990083	1	Belarus	blue	GNU C++17	77	1580
29165249_62978275	2	Belarus	blue	GNU C++17	46	1584
29165249_62988729	3	Belarus	blue	GNU C++17	46	1584
29165249_62994365	4	Belarus	blue	GNU C++17	483	3324
29181160_62981800	1	South Korea	cyan	GNU C++14	78	4
29181160_62983474	2	South Korea	cyan	GNU C++14	62	796
29181160_62988888	3	South Korea	cyan	GNU C++14	31	792
29181160_62995685	4	South Korea	cyan	GNU C++14	124	12
29172947_62978243	1	-	black	GNU C++11	46	8
29172947_62980003	2	-	black	GNU C++11	31	3920
29172947_62990289	3	-	black	GNU C++11	31	1960
29172947_62995857	4	-	black	GNU C++11	670	4412
29138563_62977989	1	Thailand	blue	GNU C++14	77	4
29138563_62987046	2	Thailand	blue	GNU C++14	62	792
29138563_62984918	3	Thailand	blue	GNU C++14	31	1576
29138563_62996913	4	Thailand	blue	GNU C++14	732	10268
29148982_62978103	1	China	blue	GNU C++14	78	39144
29148982_62981158	2	China	blue	GNU C++11	46	39936
29148982_62989629	3	China	blue	GNU C++14	31	43064
29148982_62994128	4	China	blue	GNU C++14	140	39148
29170968_62977987	1	-	blue	GNU C++17	62	0
29170968_62983680	2	-	blue	GNU C++17	62	412
29170968_62988238	3	-	blue	GNU C++17	31	412
29170968_62995319	4	-	blue	GNU C++17	421	0
29179804_62982916	1	China	blue	GNU C++17	93	4
29179804_62982782	2	China	blue	GNU C++17	61	796
29179804_62988448	3	China	blue	GNU C++17	31	796
29179804_62997294	4	China	blue	GNU C++17	546	892
29137817_62977940	1	China	cyan	GNU C++11	62	0
29137817_62980842	2	China	cyan	GNU C++11	46	224
29137817_62989516	3	China	cyan	GNU C++11	31	2964
29137817_62998246	4	China	cyan	GNU C++11	249	0
29137606_62977962	1	China	blue	GNU C++14	374	8
29137606_62980407	2	China	blue	GNU C++14	124	3924
29137606_62987625	3	China	blue	GNU C++14	31	7840
29137606_63001624	4	China	blue	GNU C++14	327	1964
29147905_62978714	1	China	blue	GNU C++14	93	12
29147905_62981497	2	China	blue	GNU C++14	62	404
29147905_62988155	3	China	blue	GNU C++14	31	400
29147905_63000357	4	China	blue	GNU C++14	186	12
29172485_62977850	1	Japan	blue	GNU C++14	358	1576
29172485_62980139	2	Japan	blue	GNU C++14	140	788
29172485_62986670	3	Japan	blue	GNU C++14	62	11752
29172485_62997414	4	Japan	blue	GNU C++14	998	8
29175422_62977934	1	Россия	blue	GNU C++17	78	8
29175422_62981826	2	Россия	blue	GNU C++17	62	404
29175422_62992099	3	Россия	blue	GNU C++17	31	3412
29175422_62995516	4	Россия	blue	GNU C++17	139	12
29175556_62977878	1	-	blue	GNU C++14	358	8
29175556_62982336	2	-	blue	GNU C++14	140	408
29175556_62987800	3	-	blue	GNU C++14	124	1580
